datetime,elapsed_time,test_num,test_time,power,motor_rpm,bike_kph,torque,grade,gear_ratio,control_type,chain_name,chain_length,chain_usage_s,chain_usage_revs,chain_usage_dist,chain_usage_work,treatment_name,treatment_num,treatment_usage_s,treatment_usage_revs,treatment_usage_dist,treatment_usage_work,rig_on_time
2023-04-18 11:34:31.392857,1232.105887,5,90,200.0,80.0,26.1,23.873,1.305,2.471,brake,01-12,112,63818.732295036316,101587.32777760962,551934.8516307591,16100.289310561426,none,1,63818.732295036316,101587.32777760962,551934.8516307591,16100.289310561426,2149.0
2023-04-18 11:36:01.394887,1322.107917,-1,17,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,63908.05088186264,101703.83861094255,552567.8674892812,16117.578326771825,none,1,63908.05088186264,101703.83861094255,552567.8674892812,16117.578326771825,2239.0
2023-04-18 11:36:18.410283,1339.123313,6,90,300.0,80.0,26.1,35.81,2.961,2.471,brake,01-12,112,63914.044753313065,101704.4124998315,552570.9854891909,16117.674792156731,none,1,63914.044753313065,101704.4124998315,552570.9854891909,16117.674792156731,2256.0
2023-04-18 11:37:48.405005,1429.118035,-1,31,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,64003.52024722099,101820.97222205326,553204.2669662919,16143.333362147388,none,1,64003.52024722099,101820.97222205326,553204.2669662919,16143.333362147388,2346.0
2023-04-18 11:38:19.411663,1460.124693,7,90,400.0,80.0,26.1,47.746,4.616,2.471,brake,01-12,112,64008.226355314255,101821.48777760881,553207.0680349427,16143.472537636653,none,1,64008.226355314255,101821.48777760881,553207.0680349427,16143.472537636653,2377.0
2023-04-18 11:39:49.419164,1550.132194,-1,51,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,64097.724056482315,101937.84499983108,553839.2493078156,16177.496463804653,none,1,64097.724056482315,101937.84499983108,553839.2493078156,16177.496463804653,2467.0
2023-04-18 11:40:40.427763,1601.140793,8,90,500.0,80.0,26.1,59.683,6.271,2.471,brake,01-12,112,64101.82096385956,101938.35166649775,553842.0020821791,16177.677193477119,none,1,64101.82096385956,101938.35166649775,553842.0020821791,16177.677193477119,2518.0
2023-04-18 11:42:10.456782,1691.169812,-1,76,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,64191.36333155632,102054.93805538617,554475.428442145,16220.26696160096,none,1,64191.36333155632,102054.93805538617,554475.428442145,16220.26696160096,2608.0
2023-04-18 11:43:26.479018,1767.192048,9,90,200.0,90.0,29.3,21.221,0.511,2.471,brake,01-12,112,64193.66274476051,102055.44499983062,554478.1827257045,16220.512043990399,none,1,64193.66274476051,102055.44499983062,554478.1827257045,16220.512043990399,2685.0
2023-04-18 11:44:56.489759,1857.202789,-1,16,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,64283.03114056587,102185.84888871857,555186.6810457051,16237.706457089966,none,1,64283.03114056587,102185.84888871857,555186.6810457051,16237.706457089966,2774.0
2023-04-18 11:45:12.512047,1873.225077,10,90,300.0,90.0,29.3,31.831,1.983,2.471,brake,01-12,112,64289.17364740372,102186.58416649634,555190.6758887636,16237.801753004012,none,1,64289.17364740372,102186.58416649634,555190.6758887636,16237.801753004012,2791.0
2023-04-18 11:46:42.523020,1963.23605,-1,29,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,64378.58013987541,102317.2713887182,555900.7135891683,16263.31163949056,none,1,64378.58013987541,102317.2713887182,555900.7135891683,16263.31163949056,2881.0
2023-04-18 11:47:11.529367,1992.242397,11,90,400.0,90.0,29.3,42.441,3.454,2.471,brake,01-12,112,64385.41654062271,102318.0338887182,555904.8563334816,16263.466204249145,none,1,64385.41654062271,102318.0338887182,555904.8563334816,16263.466204249145,2910.0
2023-04-18 11:48:41.538001,2082.251031,-1,46,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,64474.760752916336,102448.53444427343,556613.8798538577,16297.397722139865,none,1,64474.760752916336,102448.53444427343,556613.8798538577,16297.397722139865,3000.0
2023-04-18 11:49:27.572488,2128.285518,12,90,500.0,90.0,29.3,53.052,4.925,2.471,brake,01-12,112,64479.25797820091,102449.2986109401,556618.0316533498,16297.61572766439,none,1,64479.25797820091,102449.2986109401,556618.0316533498,16297.61572766439,3046.0
